case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
dapat diskon,dapat diskon,dapat diskon,"['dapat', 'diskon']",['diskon'],['diskon'],diskon,"{'classified_text': 'diskon', 'tweet_text': ' diskon', 'sentence_score': ['diskon'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",diskon, diskon,['diskon'],1,-1,netral
agak kecewa sm pengiriman nya lama bgt,agak kecewa sm pengiriman nya lama bgt,agak kecewa sama pengiriman nya lama banget,"['agak', 'kecewa', 'sama', 'pengiriman', 'nya', 'lama', 'banget']","['kecewa', 'pengiriman', 'banget']","['kecewa', 'kirim', 'banget']",kecewa kirim banget,"{'classified_text': 'kecewa [-3] kirim banget', 'tweet_text': ' kecewa kirim banget', 'sentence_score': ['kecewa [-3] kirim banget'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",kecewa [-3] kirim banget, kecewa kirim banget,['kecewa [-3] kirim banget'],1,-3,negatif
packing sangat aman. barang sudah diterima dengan baik. pembelian pertama dan semoga cocok di muka. hanya saja pengiriman agak lama.,packing sangat aman barang sudah diterima dengan baik pembelian pertama dan semoga cocok di muka hanya saja pengiriman agak lama,packing sangat aman barang sudah diterima dengan baik pembelian pertama dan semoga cocok di muka hanya saja pengiriman agak lama,"['packing', 'sangat', 'aman', 'barang', 'sudah', 'diterima', 'dengan', 'baik', 'pembelian', 'pertama', 'dan', 'semoga', 'cocok', 'di', 'muka', 'hanya', 'saja', 'pengiriman', 'agak', 'lama']","['packing', 'aman', 'diterima', 'pembelian', 'semoga', 'cocok', 'muka', 'pengiriman']","['packing', 'aman', 'terima', 'beli', 'moga', 'cocok', 'muka', 'kirim']",packing aman terima beli moga cocok muka kirim,"{'classified_text': 'packing aman [4] terima beli moga cocok [3] muka kirim', 'tweet_text': ' packing aman terima beli moga cocok muka kirim', 'sentence_score': ['packing aman [4] terima beli moga cocok [3] muka kirim'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",packing aman [4] terima beli moga cocok [3] muka kirim, packing aman terima beli moga cocok muka kirim,['packing aman [4] terima beli moga cocok [3] muka kirim'],4,-1,positif
"bagus banget cuman lama sekali ngirimnya, tapi salut sama admin yang bener2 sabar dan tetep profesional dalam menjalankan tugasnya, fast respon juga.",bagus banget cuman lama sekali ngirimnya tapi salut sama admin yang bener sabar dan tetep profesional dalam menjalankan tugasnya fast respon juga,bagus banget cuman lama sekali ngirimnya tapi salut sama admin yang benar sabar dan tetap profesional dalam menjalankan tugasnya fast respon juga,"['bagus', 'banget', 'cuman', 'lama', 'sekali', 'ngirimnya', 'tapi', 'salut', 'sama', 'admin', 'yang', 'benar', 'sabar', 'dan', 'tetap', 'profesional', 'dalam', 'menjalankan', 'tugasnya', 'fast', 'respon', 'juga']","['bagus', 'banget', 'cuman', 'ngirimnya', 'salut', 'admin', 'sabar', 'profesional', 'menjalankan', 'tugasnya', 'fast', 'respon']","['bagus', 'banget', 'cuman', 'ngirimnya', 'salut', 'admin', 'sabar', 'profesional', 'jalan', 'tugas', 'fast', 'respon']",bagus banget cuman ngirimnya salut admin sabar profesional jalan tugas fast respon,"{'classified_text': 'bagus [5] banget cuman ngirimnya salut [4] admin sabar [4] profesional jalan tugas fast respon', 'tweet_text': ' bagus banget cuman ngirimnya salut admin sabar profesional jalan tugas fast respon', 'sentence_score': ['bagus [5] banget cuman ngirimnya salut [4] admin sabar [4] profesional jalan tugas fast respon'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",bagus [5] banget cuman ngirimnya salut [4] admin sabar [4] profesional jalan tugas fast respon, bagus banget cuman ngirimnya salut admin sabar profesional jalan tugas fast respon,['bagus [5] banget cuman ngirimnya salut [4] admin sabar [4] profesional jalan tugas fast respon'],5,-1,positif
"serum hyaluronic acid yang bikin kulit plump, glowing + glass skin 😊 teksturnya gel, agak thick tapi ngga lengket pas di apply.  harganya terjangkau.",serum hyaluronic acid yang bikin kulit plump glowing glass skin teksturnya gel agak thick tapi ngga lengket pas di apply harganya terjangkau,serum hyaluronic acid yang bikin kulit plump glowing glass skin teksturnya gel agak thick tapi enggak lengket pas di apply harganya terjangkau,"['serum', 'hyaluronic', 'acid', 'yang', 'bikin', 'kulit', 'plump', 'glowing', 'glass', 'skin', 'teksturnya', 'gel', 'agak', 'thick', 'tapi', 'enggak', 'lengket', 'pas', 'di', 'apply', 'harganya', 'terjangkau']","['serum', 'hyaluronic', 'acid', 'kulit', 'plump', 'glowing', 'glass', 'skin', 'teksturnya', 'gel', 'thick', 'lengket', 'apply', 'harganya', 'terjangkau']","['serum', 'hyaluronic', 'acid', 'kulit', 'plump', 'glowing', 'glass', 'skin', 'tekstur', 'gel', 'thick', 'lengket', 'apply', 'harga', 'jangkau']",serum hyaluronic acid kulit plump glowing glass skin tekstur gel thick lengket apply harga jangkau,"{'classified_text': 'serum hyaluronic acid kulit plump glowing glass skin tekstur gel thick lengket apply harga jangkau', 'tweet_text': ' serum hyaluronic acid kulit plump glowing glass skin tekstur gel thick lengket apply harga jangkau', 'sentence_score': ['serum hyaluronic acid kulit plump glowing glass skin tekstur gel thick lengket apply harga jangkau'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",serum hyaluronic acid kulit plump glowing glass skin tekstur gel thick lengket apply harga jangkau, serum hyaluronic acid kulit plump glowing glass skin tekstur gel thick lengket apply harga jangkau,['serum hyaluronic acid kulit plump glowing glass skin tekstur gel thick lengket apply harga jangkau'],1,-1,netral
"terimakasih murah banget semoga berkah ya.
semoga cocok",terimakasih murah banget semoga berkah ya semoga cocok,terima kasih murah banget semoga berkah ya semoga cocok,"['terima', 'kasih', 'murah', 'banget', 'semoga', 'berkah', 'ya', 'semoga', 'cocok']","['terima', 'kasih', 'murah', 'banget', 'semoga', 'berkah', 'semoga', 'cocok']","['terima', 'kasih', 'murah', 'banget', 'moga', 'berkah', 'moga', 'cocok']",terima kasih murah banget moga berkah moga cocok,"{'classified_text': 'terima kasih [4] murah [4] banget moga berkah moga cocok [3]', 'tweet_text': ' terima kasih murah banget moga berkah moga cocok', 'sentence_score': ['terima kasih [4] murah [4] banget moga berkah moga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",terima kasih [4] murah [4] banget moga berkah moga cocok [3], terima kasih murah banget moga berkah moga cocok,['terima kasih [4] murah [4] banget moga berkah moga cocok [3]'],4,-1,positif
"mudah menyerap, lembab, nice produk",mudah menyerap lembab nice produk,mudah menyerap lembab nice produk,"['mudah', 'menyerap', 'lembab', 'nice', 'produk']","['mudah', 'menyerap', 'lembab', 'nice', 'produk']","['mudah', 'serap', 'lembab', 'nice', 'produk']",mudah serap lembab nice produk,"{'classified_text': 'mudah [3] serap lembab nice produk', 'tweet_text': ' mudah serap lembab nice produk', 'sentence_score': ['mudah [3] serap lembab nice produk'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",mudah [3] serap lembab nice produk, mudah serap lembab nice produk,['mudah [3] serap lembab nice produk'],3,-1,positif
"gampang menyerap, melembabkan, memudarkan bekas jerawat",gampang menyerap melembabkan memudarkan bekas jerawat,gampang menyerap melembabkan memudarkan bekas jerawat,"['gampang', 'menyerap', 'melembabkan', 'memudarkan', 'bekas', 'jerawat']","['gampang', 'menyerap', 'melembabkan', 'memudarkan', 'bekas', 'jerawat']","['gampang', 'serap', 'melembabkan', 'pudar', 'bekas', 'jerawat']",gampang serap melembabkan pudar bekas jerawat,"{'classified_text': 'gampang serap melembabkan pudar bekas [-4] jerawat', 'tweet_text': ' gampang serap melembabkan pudar bekas jerawat', 'sentence_score': ['gampang serap melembabkan pudar bekas [-4] jerawat'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",gampang serap melembabkan pudar bekas [-4] jerawat, gampang serap melembabkan pudar bekas jerawat,['gampang serap melembabkan pudar bekas [-4] jerawat'],1,-4,negatif
pertama kali coba toner eksfoliasi avoskin semoga cocok deh di akuu,pertama kali coba toner eksfoliasi avoskin semoga cocok deh di akuu,pertama kali coba toner eksfoliasi avoskin semoga cocok deh di aku,"['pertama', 'kali', 'coba', 'toner', 'eksfoliasi', 'avoskin', 'semoga', 'cocok', 'deh', 'di', 'aku']","['coba', 'toner', 'eksfoliasi', 'avoskin', 'semoga', 'cocok']","['coba', 'toner', 'eksfoliasi', 'avoskin', 'moga', 'cocok']",coba toner eksfoliasi avoskin moga cocok,"{'classified_text': 'coba toner eksfoliasi avoskin moga cocok [3]', 'tweet_text': ' coba toner eksfoliasi avoskin moga cocok', 'sentence_score': ['coba toner eksfoliasi avoskin moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",coba toner eksfoliasi avoskin moga cocok [3], coba toner eksfoliasi avoskin moga cocok,['coba toner eksfoliasi avoskin moga cocok [3]'],3,-1,positif
"produk sesuai, packing aman, pengiriman cepat",produk sesuai packing aman pengiriman cepat,produk sesuai packing aman pengiriman cepat,"['produk', 'sesuai', 'packing', 'aman', 'pengiriman', 'cepat']","['produk', 'packing', 'aman', 'pengiriman', 'cepat']","['produk', 'packing', 'aman', 'kirim', 'cepat']",produk packing aman kirim cepat,"{'classified_text': 'produk packing aman [4] kirim cepat [4]', 'tweet_text': ' produk packing aman kirim cepat', 'sentence_score': ['produk packing aman [4] kirim cepat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",produk packing aman [4] kirim cepat [4], produk packing aman kirim cepat,['produk packing aman [4] kirim cepat [4]'],4,-1,positif
imut,imut,imut,['imut'],['imut'],['imut'],imut,"{'classified_text': 'imut [4]', 'tweet_text': ' imut', 'sentence_score': ['imut [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",imut [4], imut,['imut [4]'],4,-1,positif
"belum dicoba, semoga cocok",belum dicoba semoga cocok,belum dicoba semoga cocok,"['belum', 'dicoba', 'semoga', 'cocok']","['dicoba', 'semoga', 'cocok']","['coba', 'moga', 'cocok']",coba moga cocok,"{'classified_text': 'coba moga cocok [3]', 'tweet_text': ' coba moga cocok', 'sentence_score': ['coba moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",coba moga cocok [3], coba moga cocok,['coba moga cocok [3]'],3,-1,positif
segel aman,segel aman,segel aman,"['segel', 'aman']","['segel', 'aman']","['segel', 'aman']",segel aman,"{'classified_text': 'segel aman [4]', 'tweet_text': ' segel aman', 'sentence_score': ['segel aman [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",segel aman [4], segel aman,['segel aman [4]'],4,-1,positif
segel kotak seperti sudah dibuka,segel kotak seperti sudah dibuka,segel kotak seperti sudah dibuka,"['segel', 'kotak', 'seperti', 'sudah', 'dibuka']","['segel', 'kotak', 'dibuka']","['segel', 'kotak', 'buka']",segel kotak buka,"{'classified_text': 'segel kotak buka', 'tweet_text': ' segel kotak buka', 'sentence_score': ['segel kotak buka'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",segel kotak buka, segel kotak buka,['segel kotak buka'],1,-1,netral
segel kotaknya seperti sudah dibuka,segel kotaknya seperti sudah dibuka,segel kotaknya seperti sudah dibuka,"['segel', 'kotaknya', 'seperti', 'sudah', 'dibuka']","['segel', 'kotaknya', 'dibuka']","['segel', 'kotak', 'buka']",segel kotak buka,"{'classified_text': 'segel kotak buka', 'tweet_text': ' segel kotak buka', 'sentence_score': ['segel kotak buka'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",segel kotak buka, segel kotak buka,['segel kotak buka'],1,-1,netral
oke,oke,oke,['oke'],['oke'],['oke'],oke,"{'classified_text': 'oke [3]', 'tweet_text': ' oke', 'sentence_score': ['oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",oke [3], oke,['oke [3]'],3,-1,positif
"order tanggal 1, request pick up tanggal 3, pick up tanggal 4, sampai ke pembeli tanggal 9 😪. tapi gpp, karna kualitas barangnya emang bagus tetap kukasih bintang 4.",order tanggal request pick up tanggal pick up tanggal sampai ke pembeli tanggal tapi gpp karna kualitas barangnya emang bagus tetap kukasih bintang,order tanggal request pick up tanggal pick up tanggal sampai ke pembeli tanggal tapi enggak apa-apa karena kualitas barangnya memang bagus tetap kukasih bintang,"['order', 'tanggal', 'request', 'pick', 'up', 'tanggal', 'pick', 'up', 'tanggal', 'sampai', 'ke', 'pembeli', 'tanggal', 'tapi', 'enggak', 'apa-apa', 'karena', 'kualitas', 'barangnya', 'memang', 'bagus', 'tetap', 'kukasih', 'bintang']","['order', 'request', 'pick', 'up', 'pick', 'up', 'pembeli', 'apa-apa', 'kualitas', 'barangnya', 'bagus', 'kukasih', 'bintang']","['order', 'request', 'pick', 'up', 'pick', 'up', 'beli', 'apa', 'kualitas', 'barang', 'bagus', 'kasih', 'bintang']",order request pick up pick up beli apa kualitas barang bagus kasih bintang,"{'classified_text': 'order request pick up pick up beli apa kualitas barang bagus [4] kasih bintang', 'tweet_text': ' order request pick up pick up beli apa kualitas barang bagus kasih bintang', 'sentence_score': ['order request pick up pick up beli apa kualitas barang bagus [4] kasih bintang'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",order request pick up pick up beli apa kualitas barang bagus [4] kasih bintang, order request pick up pick up beli apa kualitas barang bagus kasih bintang,['order request pick up pick up beli apa kualitas barang bagus [4] kasih bintang'],4,-1,positif
"bahannya ringan, gak ada aroma, lebih cair. pemakaian pertama aman, gak bikin kulit kering setelahnya. semoga cocok kedepannya.",bahannya ringan gak ada aroma lebih cair pemakaian pertama aman gak bikin kulit kering setelahnya semoga cocok kedepannya,bahannya ringan enggak ada aroma lebih cair pemakaian pertama aman enggak bikin kulit kering setelahnya semoga cocok kedepannya,"['bahannya', 'ringan', 'enggak', 'ada', 'aroma', 'lebih', 'cair', 'pemakaian', 'pertama', 'aman', 'enggak', 'bikin', 'kulit', 'kering', 'setelahnya', 'semoga', 'cocok', 'kedepannya']","['bahannya', 'ringan', 'aroma', 'cair', 'pemakaian', 'aman', 'kulit', 'kering', 'setelahnya', 'semoga', 'cocok', 'kedepannya']","['bahan', 'ringan', 'aroma', 'cair', 'pakai', 'aman', 'kulit', 'kering', 'telah', 'moga', 'cocok', 'depan']",bahan ringan aroma cair pakai aman kulit kering telah moga cocok depan,"{'classified_text': 'bahan ringan aroma cair pakai aman [4] kulit kering telah moga cocok [3] depan', 'tweet_text': ' bahan ringan aroma cair pakai aman kulit kering telah moga cocok depan', 'sentence_score': ['bahan ringan aroma cair pakai aman [4] kulit kering telah moga cocok [3] depan'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bahan ringan aroma cair pakai aman [4] kulit kering telah moga cocok [3] depan, bahan ringan aroma cair pakai aman kulit kering telah moga cocok depan,['bahan ringan aroma cair pakai aman [4] kulit kering telah moga cocok [3] depan'],4,-1,positif
bismillah smga cocok .,bismillah smga cocok,bismillah semoga cocok,"['bismillah', 'semoga', 'cocok']","['bismillah', 'semoga', 'cocok']","['bismillah', 'moga', 'cocok']",bismillah moga cocok,"{'classified_text': 'bismillah moga cocok [3]', 'tweet_text': ' bismillah moga cocok', 'sentence_score': ['bismillah moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",bismillah moga cocok [3], bismillah moga cocok,['bismillah moga cocok [3]'],3,-1,positif
pengemasan lama bangettt,pengemasan lama bangettt,pengemasan lama banget,"['pengemasan', 'lama', 'banget']","['pengemasan', 'banget']","['emas', 'banget']",emas banget,"{'classified_text': 'emas [5] banget', 'tweet_text': ' emas banget', 'sentence_score': ['emas [5] banget'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",emas [5] banget, emas banget,['emas [5] banget'],5,-1,positif
"bagus packing nya aman, tapi pengiriman nya sampe 1 minggu baru sampe barang nya lamaaa bangettt kalo di toko oren 2 hari juga udah sampe ke bandung 😭",bagus packing nya aman tapi pengiriman nya sampe minggu baru sampe barang nya lamaaa bangettt kalo di toko oren hari juga udah sampe ke bandung,bagus packing nya aman tapi pengiriman nya sampai minggu baru sampai barang nya lama banget kalo di toko oren hari juga sudah sampai ke bandung,"['bagus', 'packing', 'nya', 'aman', 'tapi', 'pengiriman', 'nya', 'sampai', 'minggu', 'baru', 'sampai', 'barang', 'nya', 'lama', 'banget', 'kalo', 'di', 'toko', 'oren', 'hari', 'juga', 'sudah', 'sampai', 'ke', 'bandung']","['bagus', 'packing', 'aman', 'pengiriman', 'banget', 'toko', 'oren', 'bandung']","['bagus', 'packing', 'aman', 'kirim', 'banget', 'toko', 'oren', 'bandung']",bagus packing aman kirim banget toko oren bandung,"{'classified_text': 'bagus [4] packing aman [4] kirim banget toko oren bandung', 'tweet_text': ' bagus packing aman kirim banget toko oren bandung', 'sentence_score': ['bagus [4] packing aman [4] kirim banget toko oren bandung'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",bagus [4] packing aman [4] kirim banget toko oren bandung, bagus packing aman kirim banget toko oren bandung,['bagus [4] packing aman [4] kirim banget toko oren bandung'],4,-1,positif
mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap,"{'classified_text': 'mantap [4]', 'tweet_text': ' mantap', 'sentence_score': ['mantap [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",mantap [4], mantap,['mantap [4]'],4,-1,positif
"1. barang lama di proses
2. beli 2 pcs bayar 2 pcs yang datang hanya 1pcs
3. itu pun juga ada keterlambatan pengiriman

terimakasih pengalaman berbelanjanya",barang lama di proses beli pcs bayar pcs yang datang hanya pcs itu pun juga ada keterlambatan pengiriman terimakasih pengalaman berbelanjanya,barang lama di proses beli pcs bayar pcs yang datang hanya pcs itu pun juga ada keterlambatan pengiriman terima kasih pengalaman berbelanjanya,"['barang', 'lama', 'di', 'proses', 'beli', 'pcs', 'bayar', 'pcs', 'yang', 'datang', 'hanya', 'pcs', 'itu', 'pun', 'juga', 'ada', 'keterlambatan', 'pengiriman', 'terima', 'kasih', 'pengalaman', 'berbelanjanya']","['beli', 'pcs', 'bayar', 'pcs', 'pcs', 'keterlambatan', 'pengiriman', 'terima', 'kasih', 'pengalaman', 'berbelanjanya']","['beli', 'pcs', 'bayar', 'pcs', 'pcs', 'lambat', 'kirim', 'terima', 'kasih', 'alam', 'belanja']",beli pcs bayar pcs pcs lambat kirim terima kasih alam belanja,"{'classified_text': 'beli pcs bayar pcs pcs lambat [-3] kirim terima kasih [4] alam belanja', 'tweet_text': ' beli pcs bayar pcs pcs lambat kirim terima kasih alam belanja', 'sentence_score': ['beli pcs bayar pcs pcs lambat [-3] kirim terima kasih [4] alam belanja'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}",beli pcs bayar pcs pcs lambat [-3] kirim terima kasih [4] alam belanja, beli pcs bayar pcs pcs lambat kirim terima kasih alam belanja,['beli pcs bayar pcs pcs lambat [-3] kirim terima kasih [4] alam belanja'],4,-3,positif
mudah-mudahan cocok karena reviewnya bagus,mudah mudahan cocok karena reviewnya bagus,mudah mudahan cocok karena reviewnya bagus,"['mudah', 'mudahan', 'cocok', 'karena', 'reviewnya', 'bagus']","['mudah', 'mudahan', 'cocok', 'reviewnya', 'bagus']","['mudah', 'mudah', 'cocok', 'reviewnya', 'bagus']",mudah mudah cocok reviewnya bagus,"{'classified_text': 'mudah [3] mudah [4] cocok [4] reviewnya bagus [4]', 'tweet_text': ' mudah mudah cocok reviewnya bagus', 'sentence_score': ['mudah [3] mudah [4] cocok [4] reviewnya bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",mudah [3] mudah [4] cocok [4] reviewnya bagus [4], mudah mudah cocok reviewnya bagus,['mudah [3] mudah [4] cocok [4] reviewnya bagus [4]'],4,-1,positif
"okeee lah, kadang suka lama di prosesnya",okeee lah kadang suka lama di prosesnya,oke lah kadang suka lama di prosesnya,"['oke', 'lah', 'kadang', 'suka', 'lama', 'di', 'prosesnya']","['oke', 'kadang', 'suka', 'prosesnya']","['oke', 'kadang', 'suka', 'proses']",oke kadang suka proses,"{'classified_text': 'oke [3] kadang suka [4] proses', 'tweet_text': ' oke kadang suka proses', 'sentence_score': ['oke [3] kadang suka [4] proses'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",oke [3] kadang suka [4] proses, oke kadang suka proses,['oke [3] kadang suka [4] proses'],4,-1,positif
alhamdulillah sampai dengan aman,alhamdulillah sampai dengan aman,alhamdulillah sampai dengan aman,"['alhamdulillah', 'sampai', 'dengan', 'aman']",['aman'],['aman'],aman,"{'classified_text': 'aman [4]', 'tweet_text': ' aman', 'sentence_score': ['aman [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",aman [4], aman,['aman [4]'],4,-1,positif
isi gk penuh kecewa,isi gk penuh kecewa,isi enggak penuh kecewa,"['isi', 'enggak', 'penuh', 'kecewa']","['isi', 'penuh', 'kecewa']","['isi', 'penuh', 'kecewa']",isi penuh kecewa,"{'classified_text': 'isi penuh [3] kecewa [-3]', 'tweet_text': ' isi penuh kecewa', 'sentence_score': ['isi penuh [3] kecewa [-3]'], 'max_positive': 3, 'max_negative': -3, 'kelas': 'netral'}",isi penuh [3] kecewa [-3], isi penuh kecewa,['isi penuh [3] kecewa [-3]'],3,-3,netral
"serum fav aku, aku beli pas lagi clearence sale. dapet harga yang affdorable bgt, kayaknya lebih cantik lagi di bersihin dulu kali yah debu nya meskipun barang yg di beli itu barang clearance. tp keseluruhan selalu puas belanja disini",serum fav aku aku beli pas lagi clearence sale dapet harga yang affdorable bgt kayaknya lebih cantik lagi di bersihin dulu kali yah debu nya meskipun barang yg di beli itu barang clearance tp keseluruhan selalu puas belanja disini,serum favorit aku aku beli pas lagi clearence sale dapat harga yang affdorable banget kayaknya lebih cantik lagi di bersihin dulu kali ya debu nya meskipun barang yang di beli itu barang clearance tapi keseluruhan selalu puas belanja disini,"['serum', 'favorit', 'aku', 'aku', 'beli', 'pas', 'lagi', 'clearence', 'sale', 'dapat', 'harga', 'yang', 'affdorable', 'banget', 'kayaknya', 'lebih', 'cantik', 'lagi', 'di', 'bersihin', 'dulu', 'kali', 'ya', 'debu', 'nya', 'meskipun', 'barang', 'yang', 'di', 'beli', 'itu', 'barang', 'clearance', 'tapi', 'keseluruhan', 'selalu', 'puas', 'belanja', 'disini']","['serum', 'favorit', 'beli', 'clearence', 'sale', 'harga', 'affdorable', 'banget', 'kayaknya', 'cantik', 'bersihin', 'debu', 'beli', 'clearance', 'puas', 'belanja']","['serum', 'favorit', 'beli', 'clearence', 'sale', 'harga', 'affdorable', 'banget', 'kayak', 'cantik', 'bersihin', 'debu', 'beli', 'clearance', 'puas', 'belanja']",serum favorit beli clearence sale harga affdorable banget kayak cantik bersihin debu beli clearance puas belanja,"{'classified_text': 'serum favorit beli clearence sale harga affdorable banget kayak cantik [5] bersihin debu beli clearance puas [3] belanja', 'tweet_text': ' serum favorit beli clearence sale harga affdorable banget kayak cantik bersihin debu beli clearance puas belanja', 'sentence_score': ['serum favorit beli clearence sale harga affdorable banget kayak cantik [5] bersihin debu beli clearance puas [3] belanja'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",serum favorit beli clearence sale harga affdorable banget kayak cantik [5] bersihin debu beli clearance puas [3] belanja, serum favorit beli clearence sale harga affdorable banget kayak cantik bersihin debu beli clearance puas belanja,['serum favorit beli clearence sale harga affdorable banget kayak cantik [5] bersihin debu beli clearance puas [3] belanja'],5,-1,positif
repurchase serum kecintaanku,repurchase serum kecintaanku,repurchase serum kecintaanku,"['repurchase', 'serum', 'kecintaanku']","['repurchase', 'serum', 'kecintaanku']","['repurchase', 'serum', 'cinta']",repurchase serum cinta,"{'classified_text': 'repurchase serum cinta [5]', 'tweet_text': ' repurchase serum cinta', 'sentence_score': ['repurchase serum cinta [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",repurchase serum cinta [5], repurchase serum cinta,['repurchase serum cinta [5]'],5,-1,positif
dipake langsung ngeresap enak bgt. semoga uas pake serum ini.,dipake langsung ngeresap enak bgt semoga uas pake serum ini,dipakai langsung ngeresap enak banget semoga uas pakai serum ini,"['dipakai', 'langsung', 'ngeresap', 'enak', 'banget', 'semoga', 'uas', 'pakai', 'serum', 'ini']","['dipakai', 'ngeresap', 'banget', 'semoga', 'uas', 'pakai', 'serum']","['pakai', 'ngeresap', 'banget', 'moga', 'uas', 'pakai', 'serum']",pakai ngeresap banget moga uas pakai serum,"{'classified_text': 'pakai ngeresap banget moga uas pakai serum', 'tweet_text': ' pakai ngeresap banget moga uas pakai serum', 'sentence_score': ['pakai ngeresap banget moga uas pakai serum'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",pakai ngeresap banget moga uas pakai serum, pakai ngeresap banget moga uas pakai serum,['pakai ngeresap banget moga uas pakai serum'],1,-1,netral
ok smoga cocok,ok smoga cocok,ok semoga cocok,"['ok', 'semoga', 'cocok']","['semoga', 'cocok']","['moga', 'cocok']",moga cocok,"{'classified_text': 'moga cocok [3]', 'tweet_text': ' moga cocok', 'sentence_score': ['moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",moga cocok [3], moga cocok,['moga cocok [3]'],3,-1,positif
ok.blom dcobain,ok blom dcobain,ok belum dicoba,"['ok', 'belum', 'dicoba']",['dicoba'],['coba'],coba,"{'classified_text': 'coba', 'tweet_text': ' coba', 'sentence_score': ['coba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",coba, coba,['coba'],1,-1,netral
ok blom dcoba smoga cocok,ok blom dcoba smoga cocok,ok belum dicoba semoga cocok,"['ok', 'belum', 'dicoba', 'semoga', 'cocok']","['dicoba', 'semoga', 'cocok']","['coba', 'moga', 'cocok']",coba moga cocok,"{'classified_text': 'coba moga cocok [3]', 'tweet_text': ' coba moga cocok', 'sentence_score': ['coba moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",coba moga cocok [3], coba moga cocok,['coba moga cocok [3]'],3,-1,positif
blom dpakai smoga cocok,blom dpakai smoga cocok,belum dipakai semoga cocok,"['belum', 'dipakai', 'semoga', 'cocok']","['dipakai', 'semoga', 'cocok']","['pakai', 'moga', 'cocok']",pakai moga cocok,"{'classified_text': 'pakai moga cocok [3]', 'tweet_text': ' pakai moga cocok', 'sentence_score': ['pakai moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",pakai moga cocok [3], pakai moga cocok,['pakai moga cocok [3]'],3,-1,positif
"baru mau nyoba pake sih, semoga cocok buat kulit wajah ku",baru mau nyoba pake sih semoga cocok buat kulit wajah ku,baru mau mencoba pakai sih semoga cocok buat kulit wajah ku,"['baru', 'mau', 'mencoba', 'pakai', 'sih', 'semoga', 'cocok', 'buat', 'kulit', 'wajah', 'ku']","['mencoba', 'pakai', 'semoga', 'cocok', 'kulit', 'ku']","['coba', 'pakai', 'moga', 'cocok', 'kulit', 'ku']",coba pakai moga cocok kulit ku,"{'classified_text': 'coba pakai moga cocok [3] kulit ku', 'tweet_text': ' coba pakai moga cocok kulit ku', 'sentence_score': ['coba pakai moga cocok [3] kulit ku'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",coba pakai moga cocok [3] kulit ku, coba pakai moga cocok kulit ku,['coba pakai moga cocok [3] kulit ku'],3,-1,positif
