case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma,sentimen
"packaging bgs bgtt, aman bgt, hanya produknya di bibirku yang kering masih kurang nglembabin.. harus sering-sering dioles. bagusnya produk ini warna pink nya bikin efek bibir sehat di bibirku yg hitam",packaging bgs bgtt aman bgt hanya produknya di bibirku yang kering masih kurang nglembabin harus sering sering dioles bagusnya produk ini warna pink nya bikin efek bibir sehat di bibirku yg hitam,packaging bagus banget aman banget hanya produknya di bibirku yang kering masih kurang melembabkan harus sering sering dioles bagusnya produk ini warna pink nya bikin efek bibir sehat di bibirku yang hitam,"['packaging', 'bagus', 'banget', 'aman', 'banget', 'hanya', 'produknya', 'di', 'bibirku', 'yang', 'kering', 'masih', 'kurang', 'melembabkan', 'harus', 'sering', 'sering', 'dioles', 'bagusnya', 'produk', 'ini', 'warna', 'pink', 'nya', 'bikin', 'efek', 'bibir', 'sehat', 'di', 'bibirku', 'yang', 'hitam']","['packaging', 'bagus', 'banget', 'aman', 'banget', 'produknya', 'bibirku', 'kering', 'kurang', 'melembabkan', 'sering', 'sering', 'dioles', 'bagusnya', 'produk', 'warna', 'pink', 'nya', 'bikin', 'efek', 'bibir', 'sehat', 'bibirku', 'hitam']","['packaging', 'bagus', 'banget', 'aman', 'banget', 'produk', 'bibir', 'kering', 'kurang', 'melembabkan', 'sering', 'sering', 'oles', 'bagus', 'produk', 'warna', 'pink', 'nya', 'bikin', 'efek', 'bibir', 'sehat', 'bibir', 'hitam']",packaging bagus banget aman banget produk bibir kering kurang melembabkan sering sering oles bagus produk warna pink nya bikin efek bibir sehat bibir hitam,positif
"mantul sih ini, paginya haluuuss gitu",mantul sih ini paginya haluuuss gitu,mantul sih ini paginya halus begitu,"['mantul', 'sih', 'ini', 'paginya', 'halus', 'begitu']","['mantul', 'sih', 'paginya', 'halus']","['mantul', 'sih', 'pagi', 'halus']",mantul sih pagi halus,positif
"packaging aman,, hanya saja lama di proses pengemasan sampai ke tahap pengiriman",packaging aman hanya saja lama di proses pengemasan sampai ke tahap pengiriman,packaging aman hanya saja lama di proses pengemasan sampai ke tahap pengiriman,"['packaging', 'aman', 'hanya', 'saja', 'lama', 'di', 'proses', 'pengemasan', 'sampai', 'ke', 'tahap', 'pengiriman']","['packaging', 'aman', 'lama', 'proses', 'pengemasan', 'tahap', 'pengiriman']","['packaging', 'aman', 'lama', 'proses', 'emas', 'tahap', 'kirim']",packaging aman lama proses emas tahap kirim,positif
"tonernya bagus bangetttt, bikin kulit jd lebih halus besok paginya pokoknya mantappp 👍🏼",tonernya bagus bangetttt bikin kulit jd lebih halus besok paginya pokoknya mantappp,tonernya bagus banget bikin kulit jadi lebih halus besok paginya pokoknya mantap,"['tonernya', 'bagus', 'banget', 'bikin', 'kulit', 'jadi', 'lebih', 'halus', 'besok', 'paginya', 'pokoknya', 'mantap']","['tonernya', 'bagus', 'banget', 'bikin', 'kulit', 'jadi', 'lebih', 'halus', 'besok', 'paginya', 'pokoknya', 'mantap']","['tonernya', 'bagus', 'banget', 'bikin', 'kulit', 'jadi', 'lebih', 'halus', 'besok', 'pagi', 'pokok', 'mantap']",tonernya bagus banget bikin kulit jadi lebih halus besok pagi pokok mantap,positif
dapat diskon,dapat diskon,dapat diskon,"['dapat', 'diskon']",['diskon'],['diskon'],diskon,positif
agak kecewa sm pengiriman nya lama bgt,agak kecewa sm pengiriman nya lama bgt,agak kecewa sama pengiriman nya lama banget,"['agak', 'kecewa', 'sama', 'pengiriman', 'nya', 'lama', 'banget']","['kecewa', 'sama', 'pengiriman', 'nya', 'lama', 'banget']","['kecewa', 'sama', 'kirim', 'nya', 'lama', 'banget']",kecewa sama kirim nya lama banget,positif
packing sangat aman. barang sudah diterima dengan baik. pembelian pertama dan semoga cocok di muka. hanya saja pengiriman agak lama.,packing sangat aman barang sudah diterima dengan baik pembelian pertama dan semoga cocok di muka hanya saja pengiriman agak lama,packing sangat aman barang sudah diterima dengan baik pembelian pertama dan semoga cocok di muka hanya saja pengiriman agak lama,"['packing', 'sangat', 'aman', 'barang', 'sudah', 'diterima', 'dengan', 'baik', 'pembelian', 'pertama', 'dan', 'semoga', 'cocok', 'di', 'muka', 'hanya', 'saja', 'pengiriman', 'agak', 'lama']","['packing', 'sangat', 'aman', 'barang', 'diterima', 'baik', 'pembelian', 'pertama', 'semoga', 'cocok', 'muka', 'pengiriman', 'lama']","['packing', 'sangat', 'aman', 'barang', 'terima', 'baik', 'beli', 'pertama', 'moga', 'cocok', 'muka', 'kirim', 'lama']",packing sangat aman barang terima baik beli pertama moga cocok muka kirim lama,positif
"bagus banget cuman lama sekali ngirimnya, tapi salut sama admin yang bener2 sabar dan tetep profesional dalam menjalankan tugasnya, fast respon juga.",bagus banget cuman lama sekali ngirimnya tapi salut sama admin yang bener sabar dan tetep profesional dalam menjalankan tugasnya fast respon juga,bagus banget cuman lama sekali ngirimnya tapi salut sama admin yang benar sabar dan tetap profesional dalam menjalankan tugasnya fast respon juga,"['bagus', 'banget', 'cuman', 'lama', 'sekali', 'ngirimnya', 'tapi', 'salut', 'sama', 'admin', 'yang', 'benar', 'sabar', 'dan', 'tetap', 'profesional', 'dalam', 'menjalankan', 'tugasnya', 'fast', 'respon', 'juga']","['bagus', 'banget', 'cuman', 'lama', 'sekali', 'ngirimnya', 'salut', 'sama', 'admin', 'benar', 'sabar', 'tetap', 'profesional', 'menjalankan', 'tugasnya', 'fast', 'respon']","['bagus', 'banget', 'cuman', 'lama', 'sekali', 'ngirimnya', 'salut', 'sama', 'admin', 'benar', 'sabar', 'tetap', 'profesional', 'jalan', 'tugas', 'fast', 'respon']",bagus banget cuman lama sekali ngirimnya salut sama admin benar sabar tetap profesional jalan tugas fast respon,positif
"serum hyaluronic acid yang bikin kulit plump, glowing + glass skin 😊 teksturnya gel, agak thick tapi ngga lengket pas di apply.  harganya terjangkau.",serum hyaluronic acid yang bikin kulit plump glowing glass skin teksturnya gel agak thick tapi ngga lengket pas di apply harganya terjangkau,serum hyaluronic acid yang bikin kulit plump glowing glass skin teksturnya gel agak thick tapi enggak lengket pas di apply harganya terjangkau,"['serum', 'hyaluronic', 'acid', 'yang', 'bikin', 'kulit', 'plump', 'glowing', 'glass', 'skin', 'teksturnya', 'gel', 'agak', 'thick', 'tapi', 'enggak', 'lengket', 'pas', 'di', 'apply', 'harganya', 'terjangkau']","['serum', 'hyaluronic', 'acid', 'bikin', 'kulit', 'plump', 'glowing', 'glass', 'skin', 'teksturnya', 'gel', 'thick', 'enggak', 'lengket', 'pas', 'apply', 'harganya', 'terjangkau']","['serum', 'hyaluronic', 'acid', 'bikin', 'kulit', 'plump', 'glowing', 'glass', 'skin', 'tekstur', 'gel', 'thick', 'enggak', 'lengket', 'pas', 'apply', 'harga', 'jangkau']",serum hyaluronic acid bikin kulit plump glowing glass skin tekstur gel thick enggak lengket pas apply harga jangkau,positif
"terimakasih murah banget semoga berkah ya.
semoga cocok",terimakasih murah banget semoga berkah ya semoga cocok,terima kasih murah banget semoga berkah ya semoga cocok,"['terima', 'kasih', 'murah', 'banget', 'semoga', 'berkah', 'ya', 'semoga', 'cocok']","['terima', 'kasih', 'murah', 'banget', 'semoga', 'berkah', 'semoga', 'cocok']","['terima', 'kasih', 'murah', 'banget', 'moga', 'berkah', 'moga', 'cocok']",terima kasih murah banget moga berkah moga cocok,positif
"mudah menyerap, lembab, nice produk",mudah menyerap lembab nice produk,mudah menyerap lembab nice produk,"['mudah', 'menyerap', 'lembab', 'nice', 'produk']","['mudah', 'menyerap', 'lembab', 'nice', 'produk']","['mudah', 'serap', 'lembab', 'nice', 'produk']",mudah serap lembab nice produk,netral
"gampang menyerap, melembabkan, memudarkan bekas jerawat",gampang menyerap melembabkan memudarkan bekas jerawat,gampang menyerap melembabkan memudarkan bekas jerawat,"['gampang', 'menyerap', 'melembabkan', 'memudarkan', 'bekas', 'jerawat']","['gampang', 'menyerap', 'melembabkan', 'memudarkan', 'bekas', 'jerawat']","['gampang', 'serap', 'melembabkan', 'pudar', 'bekas', 'jerawat']",gampang serap melembabkan pudar bekas jerawat,netral
pertama kali coba toner eksfoliasi avoskin semoga cocok deh di akuu,pertama kali coba toner eksfoliasi avoskin semoga cocok deh di akuu,pertama kali coba toner eksfoliasi avoskin semoga cocok deh di aku,"['pertama', 'kali', 'coba', 'toner', 'eksfoliasi', 'avoskin', 'semoga', 'cocok', 'deh', 'di', 'aku']","['pertama', 'kali', 'coba', 'toner', 'eksfoliasi', 'avoskin', 'semoga', 'cocok', 'deh', 'aku']","['pertama', 'kali', 'coba', 'toner', 'eksfoliasi', 'avoskin', 'moga', 'cocok', 'deh', 'aku']",pertama kali coba toner eksfoliasi avoskin moga cocok deh aku,positif
"produk sesuai, packing aman, pengiriman cepat",produk sesuai packing aman pengiriman cepat,produk sesuai packing aman pengiriman cepat,"['produk', 'sesuai', 'packing', 'aman', 'pengiriman', 'cepat']","['produk', 'sesuai', 'packing', 'aman', 'pengiriman', 'cepat']","['produk', 'sesuai', 'packing', 'aman', 'kirim', 'cepat']",produk sesuai packing aman kirim cepat,positif
imut,imut,imut,['imut'],['imut'],['imut'],imut,negatif
"belum dicoba, semoga cocok",belum dicoba semoga cocok,belum dicoba semoga cocok,"['belum', 'dicoba', 'semoga', 'cocok']","['belum', 'dicoba', 'semoga', 'cocok']","['belum', 'coba', 'moga', 'cocok']",belum coba moga cocok,positif
segel aman,segel aman,segel aman,"['segel', 'aman']","['segel', 'aman']","['segel', 'aman']",segel aman,positif
segel kotak seperti sudah dibuka,segel kotak seperti sudah dibuka,segel kotak seperti sudah dibuka,"['segel', 'kotak', 'seperti', 'sudah', 'dibuka']","['segel', 'kotak', 'dibuka']","['segel', 'kotak', 'buka']",segel kotak buka,netral
segel kotaknya seperti sudah dibuka,segel kotaknya seperti sudah dibuka,segel kotaknya seperti sudah dibuka,"['segel', 'kotaknya', 'seperti', 'sudah', 'dibuka']","['segel', 'kotaknya', 'dibuka']","['segel', 'kotak', 'buka']",segel kotak buka,netral
oke,oke,oke,['oke'],['oke'],['oke'],oke,positif
"order tanggal 1, request pick up tanggal 3, pick up tanggal 4, sampai ke pembeli tanggal 9 😪. tapi gpp, karna kualitas barangnya emang bagus tetap kukasih bintang 4.",order tanggal request pick up tanggal pick up tanggal sampai ke pembeli tanggal tapi gpp karna kualitas barangnya emang bagus tetap kukasih bintang,order tanggal request pick up tanggal pick up tanggal sampai ke pembeli tanggal tapi enggak apa-apa karena kualitas barangnya memang bagus tetap kukasih bintang,"['order', 'tanggal', 'request', 'pick', 'up', 'tanggal', 'pick', 'up', 'tanggal', 'sampai', 'ke', 'pembeli', 'tanggal', 'tapi', 'enggak', 'apa-apa', 'karena', 'kualitas', 'barangnya', 'memang', 'bagus', 'tetap', 'kukasih', 'bintang']","['order', 'tanggal', 'request', 'pick', 'up', 'tanggal', 'pick', 'up', 'tanggal', 'pembeli', 'tanggal', 'enggak', 'apa-apa', 'kualitas', 'barangnya', 'memang', 'bagus', 'tetap', 'kukasih', 'bintang']","['order', 'tanggal', 'request', 'pick', 'up', 'tanggal', 'pick', 'up', 'tanggal', 'beli', 'tanggal', 'enggak', 'apa', 'kualitas', 'barang', 'memang', 'bagus', 'tetap', 'kasih', 'bintang']",order tanggal request pick up tanggal pick up tanggal beli tanggal enggak apa kualitas barang memang bagus tetap kasih bintang,netral
"bahannya ringan, gak ada aroma, lebih cair. pemakaian pertama aman, gak bikin kulit kering setelahnya. semoga cocok kedepannya.",bahannya ringan gak ada aroma lebih cair pemakaian pertama aman gak bikin kulit kering setelahnya semoga cocok kedepannya,bahannya ringan enggak ada aroma lebih cair pemakaian pertama aman enggak bikin kulit kering setelahnya semoga cocok kedepannya,"['bahannya', 'ringan', 'enggak', 'ada', 'aroma', 'lebih', 'cair', 'pemakaian', 'pertama', 'aman', 'enggak', 'bikin', 'kulit', 'kering', 'setelahnya', 'semoga', 'cocok', 'kedepannya']","['bahannya', 'ringan', 'enggak', 'aroma', 'lebih', 'cair', 'pemakaian', 'pertama', 'aman', 'enggak', 'bikin', 'kulit', 'kering', 'setelahnya', 'semoga', 'cocok', 'kedepannya']","['bahan', 'ringan', 'enggak', 'aroma', 'lebih', 'cair', 'pakai', 'pertama', 'aman', 'enggak', 'bikin', 'kulit', 'kering', 'telah', 'moga', 'cocok', 'depan']",bahan ringan enggak aroma lebih cair pakai pertama aman enggak bikin kulit kering telah moga cocok depan,positif
bismillah smga cocok .,bismillah smga cocok,bismillah semoga cocok,"['bismillah', 'semoga', 'cocok']","['bismillah', 'semoga', 'cocok']","['bismillah', 'moga', 'cocok']",bismillah moga cocok,positif
pengemasan lama bangettt,pengemasan lama bangettt,pengemasan lama banget,"['pengemasan', 'lama', 'banget']","['pengemasan', 'lama', 'banget']","['emas', 'lama', 'banget']",emas lama banget,positif
"bagus packing nya aman, tapi pengiriman nya sampe 1 minggu baru sampe barang nya lamaaa bangettt kalo di toko oren 2 hari juga udah sampe ke bandung 😭",bagus packing nya aman tapi pengiriman nya sampe minggu baru sampe barang nya lamaaa bangettt kalo di toko oren hari juga udah sampe ke bandung,bagus packing nya aman tapi pengiriman nya sampai minggu baru sampai barang nya lama banget kalo di toko oren hari juga sudah sampai ke bandung,"['bagus', 'packing', 'nya', 'aman', 'tapi', 'pengiriman', 'nya', 'sampai', 'minggu', 'baru', 'sampai', 'barang', 'nya', 'lama', 'banget', 'kalo', 'di', 'toko', 'oren', 'hari', 'juga', 'sudah', 'sampai', 'ke', 'bandung']","['bagus', 'packing', 'nya', 'aman', 'pengiriman', 'nya', 'minggu', 'baru', 'barang', 'nya', 'lama', 'banget', 'kalo', 'toko', 'oren', 'hari', 'bandung']","['bagus', 'packing', 'nya', 'aman', 'kirim', 'nya', 'minggu', 'baru', 'barang', 'nya', 'lama', 'banget', 'kalo', 'toko', 'oren', 'hari', 'bandung']",bagus packing nya aman kirim nya minggu baru barang nya lama banget kalo toko oren hari bandung,positif
mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap,positif
"1. barang lama di proses
2. beli 2 pcs bayar 2 pcs yang datang hanya 1pcs
3. itu pun juga ada keterlambatan pengiriman

terimakasih pengalaman berbelanjanya",barang lama di proses beli pcs bayar pcs yang datang hanya pcs itu pun juga ada keterlambatan pengiriman terimakasih pengalaman berbelanjanya,barang lama di proses beli pcs bayar pcs yang datang hanya pcs itu pun juga ada keterlambatan pengiriman terima kasih pengalaman berbelanjanya,"['barang', 'lama', 'di', 'proses', 'beli', 'pcs', 'bayar', 'pcs', 'yang', 'datang', 'hanya', 'pcs', 'itu', 'pun', 'juga', 'ada', 'keterlambatan', 'pengiriman', 'terima', 'kasih', 'pengalaman', 'berbelanjanya']","['barang', 'lama', 'proses', 'beli', 'pcs', 'bayar', 'pcs', 'datang', 'pcs', 'keterlambatan', 'pengiriman', 'terima', 'kasih', 'pengalaman', 'berbelanjanya']","['barang', 'lama', 'proses', 'beli', 'pcs', 'bayar', 'pcs', 'datang', 'pcs', 'lambat', 'kirim', 'terima', 'kasih', 'alam', 'belanja']",barang lama proses beli pcs bayar pcs datang pcs lambat kirim terima kasih alam belanja,netral
mudah-mudahan cocok karena reviewnya bagus,mudah mudahan cocok karena reviewnya bagus,mudah mudahan cocok karena reviewnya bagus,"['mudah', 'mudahan', 'cocok', 'karena', 'reviewnya', 'bagus']","['mudah', 'mudahan', 'cocok', 'reviewnya', 'bagus']","['mudah', 'mudah', 'cocok', 'reviewnya', 'bagus']",mudah mudah cocok reviewnya bagus,positif
"okeee lah, kadang suka lama di prosesnya",okeee lah kadang suka lama di prosesnya,oke lah kadang suka lama di prosesnya,"['oke', 'lah', 'kadang', 'suka', 'lama', 'di', 'prosesnya']","['oke', 'lah', 'kadang', 'suka', 'lama', 'prosesnya']","['oke', 'lah', 'kadang', 'suka', 'lama', 'proses']",oke lah kadang suka lama proses,positif
alhamdulillah sampai dengan aman,alhamdulillah sampai dengan aman,alhamdulillah sampai dengan aman,"['alhamdulillah', 'sampai', 'dengan', 'aman']","['alhamdulillah', 'aman']","['alhamdulillah', 'aman']",alhamdulillah aman,positif
isi gk penuh kecewa,isi gk penuh kecewa,isi enggak penuh kecewa,"['isi', 'enggak', 'penuh', 'kecewa']","['isi', 'enggak', 'penuh', 'kecewa']","['isi', 'enggak', 'penuh', 'kecewa']",isi enggak penuh kecewa,negatif
"serum fav aku, aku beli pas lagi clearence sale. dapet harga yang affdorable bgt, kayaknya lebih cantik lagi di bersihin dulu kali yah debu nya meskipun barang yg di beli itu barang clearance. tp keseluruhan selalu puas belanja disini",serum fav aku aku beli pas lagi clearence sale dapet harga yang affdorable bgt kayaknya lebih cantik lagi di bersihin dulu kali yah debu nya meskipun barang yg di beli itu barang clearance tp keseluruhan selalu puas belanja disini,serum favorit aku aku beli pas lagi clearence sale dapat harga yang affdorable banget kayaknya lebih cantik lagi di bersihin dulu kali ya debu nya meskipun barang yang di beli itu barang clearance tapi keseluruhan selalu puas belanja disini,"['serum', 'favorit', 'aku', 'aku', 'beli', 'pas', 'lagi', 'clearence', 'sale', 'dapat', 'harga', 'yang', 'affdorable', 'banget', 'kayaknya', 'lebih', 'cantik', 'lagi', 'di', 'bersihin', 'dulu', 'kali', 'ya', 'debu', 'nya', 'meskipun', 'barang', 'yang', 'di', 'beli', 'itu', 'barang', 'clearance', 'tapi', 'keseluruhan', 'selalu', 'puas', 'belanja', 'disini']","['serum', 'favorit', 'aku', 'aku', 'beli', 'pas', 'clearence', 'sale', 'harga', 'affdorable', 'banget', 'kayaknya', 'lebih', 'cantik', 'bersihin', 'dulu', 'kali', 'debu', 'nya', 'meskipun', 'barang', 'beli', 'barang', 'clearance', 'keseluruhan', 'selalu', 'puas', 'belanja', 'disini']","['serum', 'favorit', 'aku', 'aku', 'beli', 'pas', 'clearence', 'sale', 'harga', 'affdorable', 'banget', 'kayak', 'lebih', 'cantik', 'bersihin', 'dulu', 'kali', 'debu', 'nya', 'meski', 'barang', 'beli', 'barang', 'clearance', 'seluruh', 'selalu', 'puas', 'belanja', 'sini']",serum favorit aku aku beli pas clearence sale harga affdorable banget kayak lebih cantik bersihin dulu kali debu nya meski barang beli barang clearance seluruh selalu puas belanja sini,positif
repurchase serum kecintaanku,repurchase serum kecintaanku,repurchase serum kecintaanku,"['repurchase', 'serum', 'kecintaanku']","['repurchase', 'serum', 'kecintaanku']","['repurchase', 'serum', 'cinta']",repurchase serum cinta,positif
dipake langsung ngeresap enak bgt. semoga uas pake serum ini.,dipake langsung ngeresap enak bgt semoga uas pake serum ini,dipakai langsung ngeresap enak banget semoga uas pakai serum ini,"['dipakai', 'langsung', 'ngeresap', 'enak', 'banget', 'semoga', 'uas', 'pakai', 'serum', 'ini']","['dipakai', 'langsung', 'ngeresap', 'enak', 'banget', 'semoga', 'uas', 'pakai', 'serum']","['pakai', 'langsung', 'ngeresap', 'enak', 'banget', 'moga', 'uas', 'pakai', 'serum']",pakai langsung ngeresap enak banget moga uas pakai serum,positif
ok smoga cocok,ok smoga cocok,ok semoga cocok,"['ok', 'semoga', 'cocok']","['semoga', 'cocok']","['moga', 'cocok']",moga cocok,positif
ok.blom dcobain,ok blom dcobain,ok belum dicoba,"['ok', 'belum', 'dicoba']","['belum', 'dicoba']","['belum', 'coba']",belum coba,positif
ok blom dcoba smoga cocok,ok blom dcoba smoga cocok,ok belum dicoba semoga cocok,"['ok', 'belum', 'dicoba', 'semoga', 'cocok']","['belum', 'dicoba', 'semoga', 'cocok']","['belum', 'coba', 'moga', 'cocok']",belum coba moga cocok,positif
blom dpakai smoga cocok,blom dpakai smoga cocok,belum dipakai semoga cocok,"['belum', 'dipakai', 'semoga', 'cocok']","['belum', 'dipakai', 'semoga', 'cocok']","['belum', 'pakai', 'moga', 'cocok']",belum pakai moga cocok,positif
"baru mau nyoba pake sih, semoga cocok buat kulit wajah ku",baru mau nyoba pake sih semoga cocok buat kulit wajah ku,baru mau mencoba pakai sih semoga cocok buat kulit wajah ku,"['baru', 'mau', 'mencoba', 'pakai', 'sih', 'semoga', 'cocok', 'buat', 'kulit', 'wajah', 'ku']","['baru', 'mau', 'mencoba', 'pakai', 'sih', 'semoga', 'cocok', 'buat', 'kulit', 'wajah', 'ku']","['baru', 'mau', 'coba', 'pakai', 'sih', 'moga', 'cocok', 'buat', 'kulit', 'wajah', 'ku']",baru mau coba pakai sih moga cocok buat kulit wajah ku,positif
pengiriman cepat dan sudah dua kali order untuk toner ini. excellent!,pengiriman cepat dan sudah dua kali order untuk toner ini excellent,pengiriman cepat dan sudah dua kali order untuk toner ini excellent,"['pengiriman', 'cepat', 'dan', 'sudah', 'dua', 'kali', 'order', 'untuk', 'toner', 'ini', 'excellent']","['pengiriman', 'cepat', 'kali', 'order', 'toner', 'excellent']","['kirim', 'cepat', 'kali', 'order', 'toner', 'excellent']",kirim cepat kali order toner excellent,positif
"pengiriman cepat, kualitas baik",pengiriman cepat kualitas baik,pengiriman cepat kualitas baik,"['pengiriman', 'cepat', 'kualitas', 'baik']","['pengiriman', 'cepat', 'kualitas', 'baik']","['kirim', 'cepat', 'kualitas', 'baik']",kirim cepat kualitas baik,positif
"cocok pakai serum ini, aman dan tidak iritasi di kulit.",cocok pakai serum ini aman dan tidak iritasi di kulit,cocok pakai serum ini aman dan tidak iritasi di kulit,"['cocok', 'pakai', 'serum', 'ini', 'aman', 'dan', 'tidak', 'iritasi', 'di', 'kulit']","['cocok', 'pakai', 'serum', 'aman', 'tidak', 'iritasi', 'kulit']","['cocok', 'pakai', 'serum', 'aman', 'tidak', 'iritasi', 'kulit']",cocok pakai serum aman tidak iritasi kulit,positif
mantep pake voucher,mantep pake voucher,mantap pakai voucher,"['mantap', 'pakai', 'voucher']","['mantap', 'pakai', 'voucher']","['mantap', 'pakai', 'voucher']",mantap pakai voucher,positif
kemasan ramah lingkungan dan aman. semoga cocok sama serum buatan anak bangsa.,kemasan ramah lingkungan dan aman semoga cocok sama serum buatan anak bangsa,kemasan ramah lingkungan dan aman semoga cocok sama serum buatan anak bangsa,"['kemasan', 'ramah', 'lingkungan', 'dan', 'aman', 'semoga', 'cocok', 'sama', 'serum', 'buatan', 'anak', 'bangsa']","['kemasan', 'ramah', 'lingkungan', 'aman', 'semoga', 'cocok', 'sama', 'serum', 'buatan', 'anak', 'bangsa']","['kemas', 'ramah', 'lingkung', 'aman', 'moga', 'cocok', 'sama', 'serum', 'buat', 'anak', 'bangsa']",kemas ramah lingkung aman moga cocok sama serum buat anak bangsa,positif
"terimakasih kak, serum avoskinnya sudah sampai.
baru pertama kali pakai,semoga cocok dikulit ku dan membantu menyamarkan noda bekas jerawat 🥰",terimakasih kak serum avoskinnya sudah sampai baru pertama kali pakai semoga cocok dikulit ku dan membantu menyamarkan noda bekas jerawat,terima kasih kak serum avoskinnya sudah sampai baru pertama kali pakai semoga cocok dikulit ku dan membantu menyamarkan noda bekas jerawat,"['terima', 'kasih', 'kak', 'serum', 'avoskinnya', 'sudah', 'sampai', 'baru', 'pertama', 'kali', 'pakai', 'semoga', 'cocok', 'dikulit', 'ku', 'dan', 'membantu', 'menyamarkan', 'noda', 'bekas', 'jerawat']","['terima', 'kasih', 'kak', 'serum', 'avoskinnya', 'baru', 'pertama', 'kali', 'pakai', 'semoga', 'cocok', 'dikulit', 'ku', 'membantu', 'menyamarkan', 'noda', 'bekas', 'jerawat']","['terima', 'kasih', 'kak', 'serum', 'avoskinnya', 'baru', 'pertama', 'kali', 'pakai', 'moga', 'cocok', 'kulit', 'ku', 'bantu', 'samar', 'noda', 'bekas', 'jerawat']",terima kasih kak serum avoskinnya baru pertama kali pakai moga cocok kulit ku bantu samar noda bekas jerawat,positif
"udh sampeeee, walaupun agak lama gapapa karena jauh juga jogjaaaa ;(( 
baru nyobaa semoga cocokkk eaa",udh sampeeee walaupun agak lama gapapa karena jauh juga jogjaaaa baru nyobaa semoga cocokkk eaa,sudah sampai walaupun agak lama gapapa karena jauh juga jogja baru mencoba semoga cocok eaa,"['sudah', 'sampai', 'walaupun', 'agak', 'lama', 'gapapa', 'karena', 'jauh', 'juga', 'jogja', 'baru', 'mencoba', 'semoga', 'cocok', 'eaa']","['walaupun', 'lama', 'gapapa', 'jauh', 'jogja', 'baru', 'mencoba', 'semoga', 'cocok', 'eaa']","['walaupun', 'lama', 'gapapa', 'jauh', 'jogja', 'baru', 'coba', 'moga', 'cocok', 'eaa']",walaupun lama gapapa jauh jogja baru coba moga cocok eaa,positif
pengiriman aman bgt soalnya agak worry krn kemasannya botol kaca,pengiriman aman bgt soalnya agak worry krn kemasannya botol kaca,pengiriman aman banget soalnya agak worry karena kemasannya botol kaca,"['pengiriman', 'aman', 'banget', 'soalnya', 'agak', 'worry', 'karena', 'kemasannya', 'botol', 'kaca']","['pengiriman', 'aman', 'banget', 'soalnya', 'worry', 'kemasannya', 'botol', 'kaca']","['kirim', 'aman', 'banget', 'soal', 'worry', 'kemas', 'botol', 'kaca']",kirim aman banget soal worry kemas botol kaca,positif
"udh pernah coba yg travel kit, dan cocok. exp masih lama sih thn 2025 bulan maret",udh pernah coba yg travel kit dan cocok exp masih lama sih thn bulan maret,sudah pernah coba yang travel kit dan cocok exp masih lama sih tahun bulan maret,"['sudah', 'pernah', 'coba', 'yang', 'travel', 'kit', 'dan', 'cocok', 'exp', 'masih', 'lama', 'sih', 'tahun', 'bulan', 'maret']","['pernah', 'coba', 'travel', 'kit', 'cocok', 'exp', 'lama', 'sih', 'tahun', 'bulan', 'maret']","['pernah', 'coba', 'travel', 'kit', 'cocok', 'exp', 'lama', 'sih', 'tahun', 'bulan', 'maret']",pernah coba travel kit cocok exp lama sih tahun bulan maret,positif
"lama bgt sampenyaa tumbennn
tp gpp
alhamdulillah beli harga cuci gudang tapi dpt yg masih baru bgt
exp masih lamaaa akkk makasih avoskin",lama bgt sampenyaa tumbennn tp gpp alhamdulillah beli harga cuci gudang tapi dpt yg masih baru bgt exp masih lamaaa akkk makasih avoskin,lama banget sampai tumben tapi enggak apa-apa alhamdulillah beli harga cuci gudang tapi dapat yang masih baru banget exp masih lama akkk terima kasih avoskin,"['lama', 'banget', 'sampai', 'tumben', 'tapi', 'enggak', 'apa-apa', 'alhamdulillah', 'beli', 'harga', 'cuci', 'gudang', 'tapi', 'dapat', 'yang', 'masih', 'baru', 'banget', 'exp', 'masih', 'lama', 'akkk', 'terima', 'kasih', 'avoskin']","['lama', 'banget', 'tumben', 'enggak', 'apa-apa', 'alhamdulillah', 'beli', 'harga', 'cuci', 'gudang', 'baru', 'banget', 'exp', 'lama', 'akkk', 'terima', 'kasih', 'avoskin']","['lama', 'banget', 'tumben', 'enggak', 'apa', 'alhamdulillah', 'beli', 'harga', 'cuci', 'gudang', 'baru', 'banget', 'exp', 'lama', 'akkk', 'terima', 'kasih', 'avoskin']",lama banget tumben enggak apa alhamdulillah beli harga cuci gudang baru banget exp lama akkk terima kasih avoskin,positif
