case_folding,cleaned,normalization,tokenize,remove_stopwords,text_string_lemma,sentimen
tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku jerawat,tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku jerawat,tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku jerawat,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat']",tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku jerawat,negatif
barang sesuai dan cepat datang. packaging juga sangat aman.,barang sesuai dan cepat datang packaging juga sangat aman,barang sesuai dan cepat datang packaging juga sangat aman,"['barang', 'sesuai', 'dan', 'cepat', 'datang', 'packaging', 'juga', 'sangat', 'aman']","['barang', 'sesuai', 'cepat', 'datang', 'packaging', 'sangat', 'aman']",barang sesuai cepat datang packaging sangat aman,positif
tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']",tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,negatif
"tipe kulitku berminyak
so far soo good!!!! sdh repurcahse bbrpa kaliii",tipe kulitku berminyak so far soo good sdh repurcahse bbrpa kaliii,tipe kulitku berminyak so far soo good sudah repurcahse beberapa kali,"['tipe', 'kulitku', 'berminyak', 'so', 'far', 'soo', 'good', 'sudah', 'repurcahse', 'beberapa', 'kali']","['tipe', 'kulitku', 'berminyak', 'so', 'far', 'soo', 'good', 'repurcahse', 'beberapa', 'kali']",tipe kulitku berminyak so far soo good repurcahse beberapa kali,netral
udah repurchase botol yang ke 2 dengan formula yang baru semoga dengan formula yg baru cocok juga diaku seperti botol yang pertama,udah repurchase botol yang ke dengan formula yang baru semoga dengan formula yg baru cocok juga diaku seperti botol yang pertama,sudah repurchase botol yang ke dengan formula yang baru semoga dengan formula yang baru cocok juga diaku seperti botol yang pertama,"['sudah', 'repurchase', 'botol', 'yang', 'ke', 'dengan', 'formula', 'yang', 'baru', 'semoga', 'dengan', 'formula', 'yang', 'baru', 'cocok', 'juga', 'diaku', 'seperti', 'botol', 'yang', 'pertama']","['repurchase', 'botol', 'formula', 'baru', 'semoga', 'formula', 'baru', 'cocok', 'diaku', 'botol', 'pertama']",repurchase botol formula baru semoga formula baru cocok diaku botol pertama,positif
barangnya udah sampai dengan selamat semoga acne warriornya cocok🙏,barangnya udah sampai dengan selamat semoga acne warriornya cocok,barangnya sudah sampai dengan selamat semoga acne warriornya cocok,"['barangnya', 'sudah', 'sampai', 'dengan', 'selamat', 'semoga', 'acne', 'warriornya', 'cocok']","['barangnya', 'selamat', 'semoga', 'acne', 'warriornya', 'cocok']",barangnya selamat semoga acne warriornya cocok,positif
tipe kulitku normal masalah kulitku jerawat,tipe kulitku normal masalah kulitku jerawat,tipe kulitku normal masalah kulitku jerawat,"['tipe', 'kulitku', 'normal', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'normal', 'masalah', 'kulitku', 'jerawat']",tipe kulitku normal masalah kulitku jerawat,negatif
"cocok, ini repurchase aku hehe. suka bgt sm moist inii",cocok ini repurchase aku suka bgt sm moist inii,cocok ini repurchase aku suka banget sama moist ini,"['cocok', 'ini', 'repurchase', 'aku', 'suka', 'banget', 'sama', 'moist', 'ini']","['cocok', 'repurchase', 'aku', 'suka', 'banget', 'sama', 'moist']",cocok repurchase aku suka banget sama moist,positif
enak buat tipe kulitku berminyak dan masalah kulitku yg berjerawat,enak buat tipe kulitku berminyak dan masalah kulitku yg berjerawat,enak buat tipe kulitku berminyak dan masalah kulitku yang berjerawat,"['enak', 'buat', 'tipe', 'kulitku', 'berminyak', 'dan', 'masalah', 'kulitku', 'yang', 'berjerawat']","['enak', 'buat', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'berjerawat']",enak buat tipe kulitku berminyak masalah kulitku berjerawat,negatif
tipe kulitku berminyak tipe kulitku sensitif masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'pori', 'besar']",tipe kulitku berminyak tipe kulitku sensitif masalah kulitku pori besar,negatif
"masih di tube lama, tp semoga cocok dengan moit yg baru ganti packaging inii. tipe kulitku berminyak",masih di tube lama tp semoga cocok dengan moit yg baru ganti packaging inii tipe kulitku berminyak,masih di tube lama tapi semoga cocok dengan moit yang baru ganti packaging ini tipe kulitku berminyak,"['masih', 'di', 'tube', 'lama', 'tapi', 'semoga', 'cocok', 'dengan', 'moit', 'yang', 'baru', 'ganti', 'packaging', 'ini', 'tipe', 'kulitku', 'berminyak']","['tube', 'lama', 'semoga', 'cocok', 'moit', 'baru', 'ganti', 'packaging', 'tipe', 'kulitku', 'berminyak']",tube lama semoga cocok moit baru ganti packaging tipe kulitku berminyak,positif
tipe kulitku berminyak tipe kulitku kering tipe kulitku sensitif masalah kulitku kerutan tipe kulitku kombinasi tipe kulitku normal masalah kulitku pori besar masalah kulitku jerawat,tipe kulitku berminyak tipe kulitku kering tipe kulitku sensitif masalah kulitku kerutan tipe kulitku kombinasi tipe kulitku normal masalah kulitku pori besar masalah kulitku jerawat,tipe kulitku berminyak tipe kulitku kering tipe kulitku sensitif masalah kulitku kerutan tipe kulitku kombinasi tipe kulitku normal masalah kulitku pori besar masalah kulitku jerawat,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'kerutan', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'masalah', 'kulitku', 'pori', 'besar', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'kerutan', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'masalah', 'kulitku', 'pori', 'besar', 'masalah', 'kulitku', 'jerawat']",tipe kulitku berminyak tipe kulitku kering tipe kulitku sensitif masalah kulitku kerutan tipe kulitku kombinasi tipe kulitku normal masalah kulitku pori besar masalah kulitku jerawat,negatif
"senang sekali bisa nyoba produk ini, wangi-nya menyenangkan dan teksturnya bagus juga,",senang sekali bisa nyoba produk ini wangi nya menyenangkan dan teksturnya bagus juga,senang sekali bisa mencoba produk ini wangi nya menyenangkan dan teksturnya bagus juga,"['senang', 'sekali', 'bisa', 'mencoba', 'produk', 'ini', 'wangi', 'nya', 'menyenangkan', 'dan', 'teksturnya', 'bagus', 'juga']","['senang', 'sekali', 'mencoba', 'produk', 'wangi', 'nya', 'menyenangkan', 'teksturnya', 'bagus']",senang sekali mencoba produk wangi nya menyenangkan teksturnya bagus,positif
"skin game varian watery moisturizer setelah repackage dan reformulation ini jadi lebih kental dari formula sebelumnya, dan yang paling utama packagingnya jadi lebih praktis",skin game varian watery moisturizer setelah repackage dan reformulation ini jadi lebih kental dari formula sebelumnya dan yang paling utama packagingnya jadi lebih praktis,skin game varian watery moisturizer setelah repackage dan reformulation ini jadi lebih kental dari formula sebelumnya dan yang paling utama packagingnya jadi lebih praktis,"['skin', 'game', 'varian', 'watery', 'moisturizer', 'setelah', 'repackage', 'dan', 'reformulation', 'ini', 'jadi', 'lebih', 'kental', 'dari', 'formula', 'sebelumnya', 'dan', 'yang', 'paling', 'utama', 'packagingnya', 'jadi', 'lebih', 'praktis']","['skin', 'game', 'varian', 'watery', 'moisturizer', 'repackage', 'reformulation', 'jadi', 'lebih', 'kental', 'formula', 'sebelumnya', 'paling', 'utama', 'packagingnya', 'jadi', 'lebih', 'praktis']",skin game varian watery moisturizer repackage reformulation jadi lebih kental formula sebelumnya paling utama packagingnya jadi lebih praktis,positif
ini adalah produk pertana yang saya coba,ini adalah produk pertana yang saya coba,ini adalah produk pertana yang saya coba,"['ini', 'adalah', 'produk', 'pertana', 'yang', 'saya', 'coba']","['produk', 'pertana', 'coba']",produk pertana coba,positif
semoga cocok dengan pelembabnya,semoga cocok dengan pelembabnya,semoga cocok dengan pelembabnya,"['semoga', 'cocok', 'dengan', 'pelembabnya']","['semoga', 'cocok', 'pelembabnya']",semoga cocok pelembabnya,positif
"sofar ku pakai sudah seminggu ini, kulit aku baik2 aja. melembabkan kulit. nyaman jg gak bikin berminyak.",sofar ku pakai sudah seminggu ini kulit aku baik aja melembabkan kulit nyaman jg gak bikin berminyak,sofar ku pakai sudah seminggu ini kulit aku baik saja melembabkan kulit nyaman juga enggak bikin berminyak,"['sofar', 'ku', 'pakai', 'sudah', 'seminggu', 'ini', 'kulit', 'aku', 'baik', 'saja', 'melembabkan', 'kulit', 'nyaman', 'juga', 'enggak', 'bikin', 'berminyak']","['sofar', 'ku', 'pakai', 'seminggu', 'kulit', 'aku', 'baik', 'melembabkan', 'kulit', 'nyaman', 'enggak', 'bikin', 'berminyak']",sofar ku pakai seminggu kulit aku baik melembabkan kulit nyaman enggak bikin berminyak,positif
"bagus, barang sampai dengan baik",bagus barang sampai dengan baik,bagus barang sampai dengan baik,"['bagus', 'barang', 'sampai', 'dengan', 'baik']","['bagus', 'barang', 'baik']",bagus barang baik,positif
"bahannya ringan, cepat meresap. baru pertama kali make, mudah2an cocok.",bahannya ringan cepat meresap baru pertama kali make mudahan cocok,bahannya ringan cepat meresap baru pertama kali memakai mudahan cocok,"['bahannya', 'ringan', 'cepat', 'meresap', 'baru', 'pertama', 'kali', 'memakai', 'mudahan', 'cocok']","['bahannya', 'ringan', 'cepat', 'meresap', 'baru', 'pertama', 'kali', 'memakai', 'mudahan', 'cocok']",bahannya ringan cepat meresap baru pertama kali memakai mudahan cocok,positif
berguna banget untuk kesehatan bibir. pengiriman samgat cepat.,berguna banget untuk kesehatan bibir pengiriman samgat cepat,berguna banget untuk kesehatan bibir pengiriman samgat cepat,"['berguna', 'banget', 'untuk', 'kesehatan', 'bibir', 'pengiriman', 'samgat', 'cepat']","['berguna', 'banget', 'kesehatan', 'bibir', 'pengiriman', 'samgat', 'cepat']",berguna banget kesehatan bibir pengiriman samgat cepat,positif
"rekomended seller, sat set langsung konfirmasi dah kirim, produk cocok di saya pribadi",rekomended seller sat set langsung konfirmasi dah kirim produk cocok di saya pribadi,rekomended seller sat set langsung konfirmasi deh kirim produk cocok di saya pribadi,"['rekomended', 'seller', 'sat', 'set', 'langsung', 'konfirmasi', 'deh', 'kirim', 'produk', 'cocok', 'di', 'saya', 'pribadi']","['rekomended', 'seller', 'sat', 'set', 'langsung', 'konfirmasi', 'deh', 'kirim', 'produk', 'cocok', 'pribadi']",rekomended seller sat set langsung konfirmasi deh kirim produk cocok pribadi,positif
"velum pake rutin, smoga cocok... pengiriman cepet",velum pake rutin smoga cocok pengiriman cepet,velum pakai rutin semoga cocok pengiriman cepat,"['velum', 'pakai', 'rutin', 'semoga', 'cocok', 'pengiriman', 'cepat']","['velum', 'pakai', 'rutin', 'semoga', 'cocok', 'pengiriman', 'cepat']",velum pakai rutin semoga cocok pengiriman cepat,positif
teksturnya kaya salep tapi dibibir kaya agak cair kaya pake lip tint... ga lengket,teksturnya kaya salep tapi dibibir kaya agak cair kaya pake lip tint ga lengket,teksturnya kayak salep tapi dibibir kayak agak cair kayak pakai lip tint enggak lengket,"['teksturnya', 'kayak', 'salep', 'tapi', 'dibibir', 'kayak', 'agak', 'cair', 'kayak', 'pakai', 'lip', 'tint', 'enggak', 'lengket']","['teksturnya', 'kayak', 'salep', 'dibibir', 'kayak', 'cair', 'kayak', 'pakai', 'lip', 'tint', 'enggak', 'lengket']",teksturnya kayak salep dibibir kayak cair kayak pakai lip tint enggak lengket,positif
"ukuran nya mini, lucuuu, belum dicoba semogaa cocok",ukuran nya mini lucuuu belum dicoba semogaa cocok,ukuran nya mini lucu belum dicoba semoga cocok,"['ukuran', 'nya', 'mini', 'lucu', 'belum', 'dicoba', 'semoga', 'cocok']","['ukuran', 'nya', 'mini', 'lucu', 'dicoba', 'semoga', 'cocok']",ukuran nya mini lucu dicoba semoga cocok,positif
liat review org2 sih katanya bagusss semoga cocok dehh😆,liat review org sih katanya bagusss semoga cocok dehh,lihat review orang sih katanya bagus semoga cocok deh,"['lihat', 'review', 'orang', 'sih', 'katanya', 'bagus', 'semoga', 'cocok', 'deh']","['lihat', 'review', 'orang', 'sih', 'katanya', 'bagus', 'semoga', 'cocok', 'deh']",lihat review orang sih katanya bagus semoga cocok deh,positif
loveee,loveee,love,['love'],['love'],love,netral
sukakk,sukakk,sukakk,['sukakk'],['sukakk'],sukakk,negatif
"sampai dengan baik. sedang dipakai, semoga cocok",sampai dengan baik sedang dipakai semoga cocok,sampai dengan baik sedang dipakai semoga cocok,"['sampai', 'dengan', 'baik', 'sedang', 'dipakai', 'semoga', 'cocok']","['baik', 'sedang', 'dipakai', 'semoga', 'cocok']",baik sedang dipakai semoga cocok,positif
lovelable,lovelable,lovelable,['lovelable'],['lovelable'],lovelable,negatif
mantap barang bonus beli moisturizer  lumayan coba2,mantap barang bonus beli moisturizer lumayan coba,mantap barang bonus beli moisturizer lumayan coba,"['mantap', 'barang', 'bonus', 'beli', 'moisturizer', 'lumayan', 'coba']","['mantap', 'barang', 'bonus', 'beli', 'moisturizer', 'lumayan', 'coba']",mantap barang bonus beli moisturizer lumayan coba,positif
mantap pengiriman cepat tepat waktu dan aman,mantap pengiriman cepat tepat waktu dan aman,mantap pengiriman cepat tepat waktu dan aman,"['mantap', 'pengiriman', 'cepat', 'tepat', 'waktu', 'dan', 'aman']","['mantap', 'pengiriman', 'cepat', 'tepat', 'waktu', 'aman']",mantap pengiriman cepat tepat waktu aman,positif
"dapat bonusan dr bli moisturizer, ternyata bagus",dapat bonusan dr bli moisturizer ternyata bagus,dapat bonusan dari beli moisturizer ternyata bagus,"['dapat', 'bonusan', 'dari', 'beli', 'moisturizer', 'ternyata', 'bagus']","['bonusan', 'beli', 'moisturizer', 'ternyata', 'bagus']",bonusan beli moisturizer ternyata bagus,positif
"isinya banyak, harganya bersahabat, kualitas jg ngga kalah sama yg lebih mahal. dapat bonus pula. pengiriman cepat mskipun beli menjelang lebaran. skingame terbaik lah",isinya banyak harganya bersahabat kualitas jg ngga kalah sama yg lebih mahal dapat bonus pula pengiriman cepat mskipun beli menjelang lebaran skingame terbaik lah,isinya banyak harganya bersahabat kualitas juga enggak kalah sama yang lebih mahal dapat bonus pula pengiriman cepat mskipun beli menjelang lebaran skingame terbaik lah,"['isinya', 'banyak', 'harganya', 'bersahabat', 'kualitas', 'juga', 'enggak', 'kalah', 'sama', 'yang', 'lebih', 'mahal', 'dapat', 'bonus', 'pula', 'pengiriman', 'cepat', 'mskipun', 'beli', 'menjelang', 'lebaran', 'skingame', 'terbaik', 'lah']","['isinya', 'banyak', 'harganya', 'bersahabat', 'kualitas', 'enggak', 'kalah', 'sama', 'lebih', 'mahal', 'bonus', 'pengiriman', 'cepat', 'mskipun', 'beli', 'menjelang', 'lebaran', 'skingame', 'terbaik', 'lah']",isinya banyak harganya bersahabat kualitas enggak kalah sama lebih mahal bonus pengiriman cepat mskipun beli menjelang lebaran skingame terbaik lah,positif
kemasan dibungkus dengan rapi dan aman disertai bubble wrap serta kardus. harga oke dan dapat free gift,kemasan dibungkus dengan rapi dan aman disertai bubble wrap serta kardus harga oke dan dapat free gift,kemasan dibungkus dengan rapi dan aman disertai bubble wrap serta kardus harga oke dan dapat free gift,"['kemasan', 'dibungkus', 'dengan', 'rapi', 'dan', 'aman', 'disertai', 'bubble', 'wrap', 'serta', 'kardus', 'harga', 'oke', 'dan', 'dapat', 'free', 'gift']","['kemasan', 'dibungkus', 'rapi', 'aman', 'disertai', 'bubble', 'wrap', 'kardus', 'harga', 'oke', 'free', 'gift']",kemasan dibungkus rapi aman disertai bubble wrap kardus harga oke free gift,positif
bagus bgt pokoknya si kecil tapi cabe rawit keren pokoknyaaaaa tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,bagus bgt pokoknya si kecil tapi cabe rawit keren pokoknyaaaaa tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,bagus banget pokoknya sih kecil tapi cabe rawit keren pokoknyaaaaa tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,"['bagus', 'banget', 'pokoknya', 'sih', 'kecil', 'tapi', 'cabe', 'rawit', 'keren', 'pokoknyaaaaa', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['bagus', 'banget', 'pokoknya', 'sih', 'kecil', 'cabe', 'rawit', 'keren', 'pokoknyaaaaa', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']",bagus banget pokoknya sih kecil cabe rawit keren pokoknyaaaaa tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,negatif
"produknya cukup nyaman di bibir. semoga bisa diproduksi ukuran besarnya juga buat gantiin lip oil yang udah discontinued padahal bagus banget (meskipun kemasannya dulu agak susah dibuka kalo tangan lagi licin) dan dulu jadi produk andalan buat mencegah skin picking kalo ocd kumat, soalnya bibir udah lembap duluan 🥲. 
satu lagi, komentar review dari seller kalau bisa jangan pake template, minimal buat pembeli yang udah ngetik review jadi ga cuma kasih bintang doang, supaya berasa beneran diapresiasi dan ga sia-sia kasih masukan. makasih :)",produknya cukup nyaman di bibir semoga bisa diproduksi ukuran besarnya juga buat gantiin lip oil yang udah discontinued padahal bagus banget meskipun kemasannya dulu agak susah dibuka kalo tangan lagi licin dan dulu jadi produk andalan buat mencegah skin picking kalo ocd kumat soalnya bibir udah lembap duluan satu lagi komentar review dari seller kalau bisa jangan pake template minimal buat pembeli yang udah ngetik review jadi ga cuma kasih bintang doang supaya berasa beneran diapresiasi dan ga sia sia kasih masukan makasih,produknya cukup nyaman di bibir semoga bisa diproduksi ukuran besarnya juga buat menggantikan lip oil yang sudah discontinued padahal bagus banget meskipun kemasannya dulu agak susah dibuka kalo tangan lagi licin dan dulu jadi produk andalan buat mencegah skin picking kalo ocd kumat soalnya bibir sudah lembab duluan satu lagi komentar review dari seller kalau bisa jangan pakai template minimal buat pembeli yang sudah mengetik review jadi enggak cuma kasih bintang doang supaya berasa benaran diapresiasi dan enggak sia sia kasih masukan terima kasih,"['produknya', 'cukup', 'nyaman', 'di', 'bibir', 'semoga', 'bisa', 'diproduksi', 'ukuran', 'besarnya', 'juga', 'buat', 'menggantikan', 'lip', 'oil', 'yang', 'sudah', 'discontinued', 'padahal', 'bagus', 'banget', 'meskipun', 'kemasannya', 'dulu', 'agak', 'susah', 'dibuka', 'kalo', 'tangan', 'lagi', 'licin', 'dan', 'dulu', 'jadi', 'produk', 'andalan', 'buat', 'mencegah', 'skin', 'picking', 'kalo', 'ocd', 'kumat', 'soalnya', 'bibir', 'sudah', 'lembab', 'duluan', 'satu', 'lagi', 'komentar', 'review', 'dari', 'seller', 'kalau', 'bisa', 'jangan', 'pakai', 'template', 'minimal', 'buat', 'pembeli', 'yang', 'sudah', 'mengetik', 'review', 'jadi', 'enggak', 'cuma', 'kasih', 'bintang', 'doang', 'supaya', 'berasa', 'benaran', 'diapresiasi', 'dan', 'enggak', 'sia', 'sia', 'kasih', 'masukan', 'terima', 'kasih']","['produknya', 'cukup', 'nyaman', 'bibir', 'semoga', 'diproduksi', 'ukuran', 'besarnya', 'buat', 'menggantikan', 'lip', 'oil', 'discontinued', 'padahal', 'bagus', 'banget', 'meskipun', 'kemasannya', 'dulu', 'susah', 'dibuka', 'kalo', 'tangan', 'licin', 'dulu', 'jadi', 'produk', 'andalan', 'buat', 'mencegah', 'skin', 'picking', 'kalo', 'ocd', 'kumat', 'soalnya', 'bibir', 'lembab', 'duluan', 'satu', 'komentar', 'review', 'seller', 'kalau', 'jangan', 'pakai', 'template', 'minimal', 'buat', 'pembeli', 'mengetik', 'review', 'jadi', 'enggak', 'cuma', 'kasih', 'bintang', 'doang', 'berasa', 'benaran', 'diapresiasi', 'enggak', 'sia', 'sia', 'kasih', 'masukan', 'terima', 'kasih']",produknya cukup nyaman bibir semoga diproduksi ukuran besarnya buat menggantikan lip oil discontinued padahal bagus banget meskipun kemasannya dulu susah dibuka kalo tangan licin dulu jadi produk andalan buat mencegah skin picking kalo ocd kumat soalnya bibir lembab duluan satu komentar review seller kalau jangan pakai template minimal buat pembeli mengetik review jadi enggak cuma kasih bintang doang berasa benaran diapresiasi enggak sia sia kasih masukan terima kasih,positif
moisturisernya ringan dan cepat menyerap,moisturisernya ringan dan cepat menyerap,moisturisernya ringan dan cepat menyerap,"['moisturisernya', 'ringan', 'dan', 'cepat', 'menyerap']","['moisturisernya', 'ringan', 'cepat', 'menyerap']",moisturisernya ringan cepat menyerap,positif
no review found,no review found,no review found,"['no', 'review', 'found']","['no', 'review', 'found']",no review found,netral
tipe kulitku sensitif tapi worth it banget skingame pemakaian bisa sampe 4-6 bulann,tipe kulitku sensitif tapi worth it banget skingame pemakaian bisa sampe bulann,tipe kulitku sensitif tapi worth itu banget skingame pemakaian bisa sampai bulann,"['tipe', 'kulitku', 'sensitif', 'tapi', 'worth', 'itu', 'banget', 'skingame', 'pemakaian', 'bisa', 'sampai', 'bulann']","['tipe', 'kulitku', 'sensitif', 'worth', 'banget', 'skingame', 'pemakaian', 'bulann']",tipe kulitku sensitif worth banget skingame pemakaian bulann,negatif
mantep beli moisturizer dapet gratisannya ini wkwk,mantep beli moisturizer dapet gratisannya ini,mantap beli moisturizer dapat gratisannya ini,"['mantap', 'beli', 'moisturizer', 'dapat', 'gratisannya', 'ini']","['mantap', 'beli', 'moisturizer', 'gratisannya']",mantap beli moisturizer gratisannya,positif
"gua cowok kulit berminyak dan banyak yang rekomen moisturizer ini, udah gua coba sekali hari ini dan sumpah ini enak banget bro enteng di wajah. oil controlnya mantep, sama sekali gak whitecast aman. rekomen buat cowok yang bingung nyari moisturizer",gua cowok kulit berminyak dan banyak yang rekomen moisturizer ini udah gua coba sekali hari ini dan sumpah ini enak banget bro enteng di wajah oil controlnya mantep sama sekali gak whitecast aman rekomen buat cowok yang bingung nyari moisturizer,gua cowok kulit berminyak dan banyak yang rekomen moisturizer ini sudah gua coba sekali hari ini dan sumpah ini enak banget bro enteng di wajah oil controlnya mantap sama sekali enggak whitecast aman rekomen buat cowok yang bingung mencari moisturizer,"['gua', 'cowok', 'kulit', 'berminyak', 'dan', 'banyak', 'yang', 'rekomen', 'moisturizer', 'ini', 'sudah', 'gua', 'coba', 'sekali', 'hari', 'ini', 'dan', 'sumpah', 'ini', 'enak', 'banget', 'bro', 'enteng', 'di', 'wajah', 'oil', 'controlnya', 'mantap', 'sama', 'sekali', 'enggak', 'whitecast', 'aman', 'rekomen', 'buat', 'cowok', 'yang', 'bingung', 'mencari', 'moisturizer']","['gua', 'cowok', 'kulit', 'berminyak', 'banyak', 'rekomen', 'moisturizer', 'gua', 'coba', 'sekali', 'hari', 'sumpah', 'enak', 'banget', 'bro', 'enteng', 'wajah', 'oil', 'controlnya', 'mantap', 'sama', 'sekali', 'enggak', 'whitecast', 'aman', 'rekomen', 'buat', 'cowok', 'bingung', 'mencari', 'moisturizer']",gua cowok kulit berminyak banyak rekomen moisturizer gua coba sekali hari sumpah enak banget bro enteng wajah oil controlnya mantap sama sekali enggak whitecast aman rekomen buat cowok bingung mencari moisturizer,positif
"nggak tau udah repurchase berapa kali moistnya hihi. btw terima kasih bonusnya lip treatmentnya, nggak sabar cobain😇",nggak tau udah repurchase berapa kali moistnya btw terima kasih bonusnya lip treatmentnya nggak sabar cobain,enggak tau sudah repurchase berapa kali moistnya btw terima kasih bonusnya lip treatmentnya enggak sabar mencoba,"['enggak', 'tau', 'sudah', 'repurchase', 'berapa', 'kali', 'moistnya', 'btw', 'terima', 'kasih', 'bonusnya', 'lip', 'treatmentnya', 'enggak', 'sabar', 'mencoba']","['enggak', 'tau', 'repurchase', 'berapa', 'kali', 'moistnya', 'btw', 'terima', 'kasih', 'bonusnya', 'lip', 'treatmentnya', 'enggak', 'sabar', 'mencoba']",enggak tau repurchase berapa kali moistnya btw terima kasih bonusnya lip treatmentnya enggak sabar mencoba,positif
"teksturnya bagus dan karena ukurannya besar, jadi bisa hemat pakainya",teksturnya bagus dan karena ukurannya besar jadi bisa hemat pakainya,teksturnya bagus dan karena ukurannya besar jadi bisa hemat pakainya,"['teksturnya', 'bagus', 'dan', 'karena', 'ukurannya', 'besar', 'jadi', 'bisa', 'hemat', 'pakainya']","['teksturnya', 'bagus', 'ukurannya', 'besar', 'jadi', 'hemat', 'pakainya']",teksturnya bagus ukurannya besar jadi hemat pakainya,positif
produk ini cocok di kulit saya. mantap!,produk ini cocok di kulit saya mantap,produk ini cocok di kulit saya mantap,"['produk', 'ini', 'cocok', 'di', 'kulit', 'saya', 'mantap']","['produk', 'cocok', 'kulit', 'mantap']",produk cocok kulit mantap,positif
"tipe kulitku berminyak pake ini enak bgt karna gak bikin kulit tambah berminyak, finishnya oke bgt ngelembapin tp gak lebay. bestttt",tipe kulitku berminyak pake ini enak bgt karna gak bikin kulit tambah berminyak finishnya oke bgt ngelembapin tp gak lebay bestttt,tipe kulitku berminyak pakai ini enak banget karena enggak bikin kulit tambah berminyak finishnya oke banget ngelembapin tapi enggak lebay bestttt,"['tipe', 'kulitku', 'berminyak', 'pakai', 'ini', 'enak', 'banget', 'karena', 'enggak', 'bikin', 'kulit', 'tambah', 'berminyak', 'finishnya', 'oke', 'banget', 'ngelembapin', 'tapi', 'enggak', 'lebay', 'bestttt']","['tipe', 'kulitku', 'berminyak', 'pakai', 'enak', 'banget', 'enggak', 'bikin', 'kulit', 'tambah', 'berminyak', 'finishnya', 'oke', 'banget', 'ngelembapin', 'enggak', 'lebay', 'bestttt']",tipe kulitku berminyak pakai enak banget enggak bikin kulit tambah berminyak finishnya oke banget ngelembapin enggak lebay bestttt,positif
"tipe kulitku kering, cocok langsung lembab",tipe kulitku kering cocok langsung lembab,tipe kulitku kering cocok langsung lembab,"['tipe', 'kulitku', 'kering', 'cocok', 'langsung', 'lembab']","['tipe', 'kulitku', 'kering', 'cocok', 'langsung', 'lembab']",tipe kulitku kering cocok langsung lembab,positif
bagus buat jerawat pendem dan ini sdh ke 4 x soale cocok buat putriku,bagus buat jerawat pendem dan ini sdh ke soale cocok buat putriku,bagus buat jerawat pendem dan ini sudah ke soale cocok buat putriku,"['bagus', 'buat', 'jerawat', 'pendem', 'dan', 'ini', 'sudah', 'ke', 'soale', 'cocok', 'buat', 'putriku']","['bagus', 'buat', 'jerawat', 'pendem', 'soale', 'cocok', 'buat', 'putriku']",bagus buat jerawat pendem soale cocok buat putriku,positif
